source_,tgt_,model_id,model_human,pair,mqm_score,comet_xl,comet_xxl,prometheus,gemba_all_orig,gemba_all_literary,gemba_acc_literary,gemba_flu_literary,gemba_all_literary,gemba_sty_literary,gemba_term_literary,mqm_score_acc,mqm_score_fluency,mqm_score_style,mqm_score_term
Nach einigen Jahren ,After a few years of,translator1//1919,translator,de-en,-2.0,0.445528924465179,0.6488958001136781,5,-1.75,-1.75,-5,-1,-1.75,-1,0,-6,0,-2,0
Nach einigen Jahren ,After a few years of,google translate//1920,google translate,de-en,-1.5,0.673141658306121,0.5288426280021661,5,-1.75,-2.75,-5,-1,-2.75,-5,0,-6,0,0,0
Nach einigen Jahren ,After several years ,translation_gpt4o//1921,gpt4o,de-en,-1.0,0.7529157996177671,0.5846256613731381,5,-1.5,-3.0,-5,-5,-3.0,-2,0,-4,0,-2,0
"Tadzio, mit drei ode",Tadzio moved to the ,batch1_Unbabel_TowerInstruct-7B-v0.2//1922,towerinstruct-7b-v0.2,de-en,-2.1538461538461537,0.180736795067787,0.195874661207199,4,-2.923076923076923,-2.8461538461538463,-25,-6,-2.8461538461538463,-6,0,-21,-2,-6,0
"Tadzio, mit drei ode","Tadzio, with the thr",translator1//1923,translator,de-en,-1.2307692307692308,0.185024678707122,0.200246021151542,4,-0.9230769230769231,-1.0,-5,-5,-1.0,-2,-1,-13,0,-9,0
"Tadzio, mit drei ode","Tadzio, along with t",translation_gpt4o//1924,gpt4o,de-en,-0.38461538461538464,0.187929362058639,0.191074043512344,4,-0.9230769230769231,-1.0,-5,-6,-1.0,-2,0,-3,-2,-1,0
"Tadzio, mit drei ode","Tadzio, along with t",translator3//1925,translator,de-en,-0.46153846153846156,0.182682991027832,0.202177360653877,2,-0.9230769230769231,-0.9230769230769231,-5,-5,-0.9230769230769231,-2,0,-2,-1,-3,0
"Tadzio, mit drei ode","Tadzio, with three o",batch1_meta-llama_Meta-Llama-3-8B-Instruct//1926,meta-llama-3-8b-instruct,de-en,-1.0769230769230769,0.188097521662712,0.219101041555404,4,-0.9230769230769231,-2.8461538461538463,-30,-5,-2.8461538461538463,-2,0,-9,-1,-5,0
"Tadzio, mit drei ode","Tadzio, with three o",nllb//1927,nllb,de-en,-2.6153846153846154,0.065731182694435,0.097585782408714,4,-6.3076923076923075,-6.6923076923076925,-75,-10,-6.6923076923076925,-2,0,-33,-1,0,0
"Tadzio, mit drei ode","Tadzio, with three o",m2m_100//1928,m2m,de-en,-3.3846153846153846,0.182747974991798,0.219648078083992,4,-4.846153846153846,-5.230769230769231,-50,-10,-5.230769230769231,-6,-1,-25,-16,-4,0
"Tadzio, mit drei ode","Tadzio, with three o",batch1_google_gemma-1.1-7b-it//1929,gemma-1.1-7b-it,de-en,-1.5384615384615385,0.186897948384284,0.189000144600868,4,-2.923076923076923,-2.923076923076923,-30,-6,-2.923076923076923,-2,0,-12,-2,-7,0
"Tadzio, mit drei ode","Tadzio, with three o",google translate//1930,google translate,de-en,-0.6153846153846154,0.185689717531204,0.215332135558128,4,-0.9230769230769231,-1.0,-5,-5,-1.0,-3,0,-4,-1,-4,0
"Tadzio, mit drei ode","Tadzio, accompanied ",batch1_Qwen_Qwen2-beta-7B-Chat//1931,qwen2-beta-7b-chat,de-en,-3.6153846153846154,0.196826383471488,-0.006846492178738,4,-2.8461538461538463,-2.923076923076923,-30,-6,-2.923076923076923,-2,0,-35,-7,-7,0
"Tadzio, mit drei ode","Tadzio, with the thr",translator2//1932,translator,de-en,-0.3076923076923077,0.18834975361824,0.21494048833847,4,-0.9230769230769231,-1.0,-5,-6,-1.0,-2,0,-1,-1,-2,0
"Tadzio, mit drei ode","Tadzio, with three o",deepl//1933,deepl,de-en,-0.7692307692307693,0.18579526245594,0.208674296736717,4,-0.9230769230769231,-0.9230769230769231,-5,-6,-0.9230769230769231,-1,0,-4,-1,-7,0
"Der Himmel war grau,","The sky was gray, th",translation_gpt4o//1934,gpt4o,de-en,0.0,0.6978633403778071,0.8462369441986081,4,-0.3333333333333333,-2.0,-5,0,-2.0,-1,0,0,0,0,0
"Der Himmel war grau,","The sky was gray, th",nllb//1935,nllb,de-en,-0.3333333333333333,0.7552031278610231,0.9351414442062372,4,-0.6666666666666666,-4.0,-5,-5,-4.0,-2,0,0,0,0,0
"Der Himmel war grau,","The sky was gray, th",batch1_Unbabel_TowerInstruct-7B-v0.2//1936,towerinstruct-7b-v0.2,de-en,-2.6666666666666665,0.7216331958770751,0.82539963722229,4,-2.3333333333333335,-2.3333333333333335,-5,-1,-2.3333333333333335,-1,0,-7,-1,0,0
"Der Himmel war grau,","The sky was gray, th",translator3//1937,translator,de-en,-0.3333333333333333,0.7410585880279541,0.911543607711792,4,-3.6666666666666665,-3.6666666666666665,-5,-5,-3.6666666666666665,-1,0,0,0,0,0
"Der Himmel war grau,","The sky was gray, th",deepl//1938,deepl,de-en,0.0,0.7325194478034971,0.6835378408432,4,-0.3333333333333333,-2.3333333333333335,-5,-1,-2.3333333333333335,-1,0,0,0,0,0
"Der Himmel war grau,","The sky was gray, th",translator2//1939,translator,de-en,-1.0,0.5507434606552121,0.7812641859054561,4,-2.3333333333333335,-2.3333333333333335,-5,-1,-2.3333333333333335,-1,0,-1,0,-2,0
"Der Himmel war grau,","The sky was grey, th",google translate//1940,google translate,de-en,-0.6666666666666666,0.716591238975524,0.869450390338897,4,-2.3333333333333335,-2.3333333333333335,-5,-1,-2.3333333333333335,-1,0,-2,0,0,0
"Der Himmel war grau,","The sky was gray, th",batch1_Qwen_Qwen2-beta-7B-Chat//1941,qwen2-beta-7b-chat,de-en,-0.6666666666666666,0.6321396827697751,0.8645132780075071,4,-4.0,-4.0,-5,-5,-4.0,-2,0,-1,-1,0,0
"Der Himmel war grau,","The sky was gray, th",batch1_google_gemma-1.1-7b-it//1942,gemma-1.1-7b-it,de-en,-2.3333333333333335,0.53356397151947,0.63219928741455,4,-4.0,-4.0,-5,-5,-4.0,-2,0,-6,0,-1,0
"Der Himmel war grau,","The sky was grey, th",translator1//1943,translator,de-en,0.0,0.703932166099548,0.844447791576385,4,-2.3333333333333335,-2.3333333333333335,-5,-1,-2.3333333333333335,-1,0,0,0,0,0
"Der Himmel war grau,","The sky was grey, th",m2m_100//1944,m2m,de-en,-3.0,0.701801061630249,0.743384957313537,4,-12.333333333333334,-12.666666666666666,-26,-7,-12.666666666666666,-5,0,-7,0,-2,0
"Der Himmel war grau,","The sky was grey, th",batch1_meta-llama_Meta-Llama-3-8B-Instruct//1945,meta-llama-3-8b-instruct,de-en,0.0,0.6198629140853881,0.8854957818984981,2,-4.0,-4.0,-5,-6,-4.0,-1,0,0,0,0,0
Leise schmeichelnd b,He was silently flat,nllb//1946,nllb,de-en,-3.25,0.519008934497833,0.5761449337005611,3,-3.0,-3.25,-5,-5,-3.25,-2,-1,-13,0,0,0
Leise schmeichelnd b,"Silently, he commise",batch1_meta-llama_Meta-Llama-3-8B-Instruct//1947,meta-llama-3-8b-instruct,de-en,-2.25,0.388209342956542,0.419403463602066,4,-2.75,-3.0,-5,-5,-3.0,-2,0,-8,0,0,0
Leise schmeichelnd b,Quietly stroking his,batch1_google_gemma-1.1-7b-it//1948,gemma-1.1-7b-it,de-en,-3.75,0.290986537933349,0.251607596874237,4,-3.0,-3.0,-5,-5,-3.0,-2,0,-13,0,-1,0
Leise schmeichelnd b,He expressed his reg,google translate//1949,google translate,de-en,-1.5,0.6905969381332391,0.6536566615104671,4,-2.75,-2.75,-5,-5,-2.75,-1,0,-5,0,-1,0
Leise schmeichelnd b,"Softly, apologetical",batch1_Qwen_Qwen2-beta-7B-Chat//1950,qwen2-beta-7b-chat,de-en,-0.5,0.389347314834594,0.517599463462829,4,-1.75,-1.75,-5,-1,-1.75,-1,0,-1,0,0,0
Leise schmeichelnd b,"Quietly flattering, ",translation_gpt4o//1951,gpt4o,de-en,-2.75,0.6887652873992921,0.5992301702499391,4,-2.75,-3.0,-5,-5,-3.0,-2,0,-11,0,0,0
Leise schmeichelnd b,"Silently, he lamente",batch1_Unbabel_TowerInstruct-7B-v0.2//1952,towerinstruct-7b-v0.2,de-en,-0.5,0.53139591217041,0.442555963993072,2,-2.75,-2.75,-5,-5,-2.75,-1,0,0,-1,0,0
Leise schmeichelnd b,He ingratiatingly re,translator1//1953,translator,de-en,-0.75,0.535502016544342,0.482821494340896,4,-3.0,-3.0,-5,-1,-3.0,-6,0,-2,0,-1,0
Leise schmeichelnd b,He deplored the inci,translator2//1954,translator,de-en,-0.25,0.5802035331726071,0.563411474227905,4,-3.0,-3.0,-5,-5,-3.0,-1,-1,0,0,0,0
Leise schmeichelnd b,He quietly lamented ,m2m_100//1955,m2m,de-en,-3.0,0.617064595222473,0.522882401943206,4,-8.0,-8.0,-25,-5,-8.0,-2,0,-11,-1,0,0
Leise schmeichelnd b,In soft-spoken sycop,translator3//1956,translator,de-en,-0.75,0.678951740264892,0.5763473510742181,4,-3.0,-3.0,-5,-5,-3.0,-2,0,-2,0,-2,0
Leise schmeichelnd b,"Quietly cajoling, he",deepl//1957,deepl,de-en,-0.25,0.7580159306526181,0.5978285670280451,4,-0.25,-3.0,-5,-5,-3.0,-2,0,0,0,0,0
Neuerdings begnügte ,"By now, he was no lo",translator3//1958,translator,de-en,-0.4,0.15515099465847,0.202102690935134,5,-1.4,-2.4,-5,-5,-2.4,-2,0,-1,0,-1,0
Neuerdings begnügte ,Lately he had not be,translator1//1959,translator,de-en,-0.8,0.169342428445816,0.073845818638801,2,-1.4,-2.4,-5,-5,-2.4,-1,-1,-3,0,-1,0
Neuerdings begnügte ,"Recently, he was not",nllb//1960,nllb,de-en,-10.2,0.109024688601493,0.143256828188896,4,-12.4,-12.4,-50,-6,-12.4,-5,-1,-47,0,-4,0
Neuerdings begnügte ,He had not been cont,translator2//1961,translator,de-en,-0.2,0.169084519147872,0.230978965759277,4,-2.4,-2.4,-5,-5,-2.4,-1,-1,0,0,0,0
Neuerdings begnügte ,Recently he did not ,m2m_100//1962,m2m,de-en,-11.4,0.177244022488594,0.157454147934913,4,-12.4,-12.4,-50,-6,-12.4,-6,0,-54,0,-4,0
Neuerdings begnügte ,Lately he was not co,google translate//1963,google translate,de-en,-5.0,0.177759915590286,0.297687053680419,6,-3.4,-2.4,-5,-5,-2.4,-2,0,-20,-5,0,0
Neuerdings begnügte ,"Recently, he was not",batch1_meta-llama_Meta-Llama-3-8B-Instruct//1964,meta-llama-3-8b-instruct,de-en,-1.6,0.18687629699707,0.093820817768573,6,-2.4,-2.4,-5,-5,-2.4,-2,0,-6,-1,-1,0
Neuerdings begnügte ,"Recently, he no long",batch1_Qwen_Qwen2-beta-7B-Chat//1965,qwen2-beta-7b-chat,de-en,-6.2,0.181243732571601,0.2251528352499,2,-6.4,-6.6,-26,-5,-6.6,-1,-1,-23,-1,-2,0
Neuerdings begnügte ,Of late he was not c,deepl//1966,deepl,de-en,-7.8,0.243250340223312,0.279157370328903,3,-2.4,-7.4,-26,-5,-7.4,-6,0,-37,0,-1,0
Neuerdings begnügte ,"Lately, he no longer",translation_gpt4o//1967,gpt4o,de-en,-4.6,0.226265579462051,0.287869364023208,4,-1.4,-1.4,-5,-1,-1.4,-1,0,-21,0,-2,0
Neuerdings begnügte ,Recently he was no l,batch1_Unbabel_TowerInstruct-7B-v0.2//1968,towerinstruct-7b-v0.2,de-en,-6.0,0.215823844075202,0.085220389068126,4,-2.4,-2.4,-5,-6,-2.4,-1,0,-28,-1,-1,0
Neuerdings begnügte ,The newcomer did not,batch1_google_gemma-1.1-7b-it//1969,gemma-1.1-7b-it,de-en,-9.4,0.189648360013961,0.206791266798973,4,-3.4,-7.6,-30,-6,-7.6,-2,0,-42,-3,-2,0
"Es war ein Lied, das",It was a song that n,batch1_google_gemma-1.1-7b-it//1970,gemma-1.1-7b-it,de-en,-3.2857142857142856,0.189427554607391,0.014223326928913,4,-5.285714285714286,-6.0,-30,-6,-6.0,-6,0,-20,-2,-3,0
"Es war ein Lied, das",It was a song that a,batch1_Unbabel_TowerInstruct-7B-v0.2//1971,towerinstruct-7b-v0.2,de-en,-4.285714285714286,0.188992410898208,0.068449862301349,2,-6.0,-5.428571428571429,-26,-6,-5.428571428571429,-6,0,-26,-2,-2,0
"Es war ein Lied, das",It was a song that t,translation_gpt4o//1972,gpt4o,de-en,-0.42857142857142855,0.188422083854675,0.097049385309219,4,-1.8571428571428572,-1.8571428571428572,-5,-5,-1.8571428571428572,-2,-1,-2,-1,0,0
"Es war ein Lied, das",It was a song that t,m2m_100//1973,m2m,de-en,-9.0,0.175472125411033,0.077401727437973,4,-12.428571428571429,-12.428571428571429,-75,-6,-12.428571428571429,-6,0,-61,-1,-2,0
"Es war ein Lied, das",It was a song that n,batch1_Qwen_Qwen2-beta-7B-Chat//1974,qwen2-beta-7b-chat,de-en,-2.857142857142857,0.237846627831459,0.116505540907382,5,-23.285714285714285,-17.571428571428573,-100,-20,-17.571428571428573,-3,0,-13,-1,-1,0
"Es war ein Lied, das",It was a song that t,google translate//1975,google translate,de-en,-0.8571428571428571,0.19060742855072,0.121304146945476,2,-1.8571428571428572,-1.8571428571428572,-5,-5,-1.8571428571428572,-2,-1,-3,0,-4,0
"Es war ein Lied, das",It was a song that t,deepl//1976,deepl,de-en,-0.5714285714285714,0.183924436569213,0.08495382964611,1,-1.7142857142857142,-1.7142857142857142,-5,-5,-1.7142857142857142,-2,0,-4,0,0,0
"Es war ein Lied, das",It was a song that t,nllb//1977,nllb,de-en,-4.285714285714286,0.173322528600692,0.027809921652078,1,-12.428571428571429,-9.571428571428571,-30,-31,-9.571428571428571,-6,0,-30,0,0,0
"Es war ein Lied, das",It was a song that n,batch1_meta-llama_Meta-Llama-3-8B-Instruct//1978,meta-llama-3-8b-instruct,de-en,-2.857142857142857,0.185622066259384,0.100281812250614,4,-5.285714285714286,-5.428571428571429,-26,-5,-5.428571428571429,-6,-1,-19,0,-1,0
"Es war ein Lied, das",It was a rousing son,translator1//1979,translator,de-en,-2.142857142857143,0.189565747976303,0.107925988733768,4,-1.7142857142857142,-1.8571428571428572,-5,-5,-1.8571428571428572,-2,-1,-12,-3,0,0
"Es war ein Lied, das",It was a song the so,translator2//1980,translator,de-en,-1.5714285714285714,0.185657814145088,0.025242995470762,4,-1.8571428571428572,-1.8571428571428572,-5,-5,-1.8571428571428572,-2,-1,-11,0,0,0
"Es war ein Lied, das",It was a song the so,translator3//1981,translator,de-en,-2.142857142857143,0.195859298110008,0.044081751257181,6,-2.4285714285714284,-1.7142857142857142,-5,-1,-1.7142857142857142,-6,0,-8,-1,-6,0
Aus diesem Traum erw,The stricken man awo,translator2//1982,translator,de-en,-0.2,0.196087837219238,0.220630586147308,4,-1.4,-2.4,-5,-5,-2.4,-2,0,0,0,0,0
Aus diesem Traum erw,"From this dream, the",batch1_meta-llama_Meta-Llama-3-8B-Instruct//1983,meta-llama-3-8b-instruct,de-en,-5.0,0.182652458548545,0.252532035112381,4,-7.4,-7.6,-26,-6,-7.6,-6,0,-18,-6,-6,0
Aus diesem Traum erw,From this dream the ,nllb//1984,nllb,de-en,-4.4,0.094976596534252,0.213933631777763,1,-12.6,-12.4,-50,-5,-12.4,-6,-1,-20,-1,-1,0
Aus diesem Traum erw,From this dream the ,batch1_Unbabel_TowerInstruct-7B-v0.2//1985,towerinstruct-7b-v0.2,de-en,-2.2,0.181439623236656,0.188296601176261,4,-7.4,-7.4,-26,-5,-7.4,-6,0,-10,0,-1,0
Aus diesem Traum erw,"Of this dream, the a",translation_gpt4o//1986,gpt4o,de-en,-0.2,0.17246089875698,0.343932956457138,3,-2.4,-2.6,-5,-6,-2.6,-2,0,0,0,0,0
Aus diesem Traum erw,The troubled awakene,batch1_google_gemma-1.1-7b-it//1987,gemma-1.1-7b-it,de-en,-2.6,0.23197317123413,0.16695749759674,2,-6.4,-7.6,-30,-5,-7.6,-2,-1,-13,0,0,0
Aus diesem Traum erw,From this dream the ,m2m_100//1988,m2m,de-en,-5.0,0.169430375099182,0.188870102167129,2,-7.4,-7.4,-30,-6,-7.4,-1,0,-22,-1,-2,0
Aus diesem Traum erw,"From that dream, the",batch1_Qwen_Qwen2-beta-7B-Chat//1989,qwen2-beta-7b-chat,de-en,-3.4,0.17256075143814,0.220093891024589,2,-7.4,-7.6,-30,-6,-7.6,-2,0,-11,-1,0,0
Aus diesem Traum erw,The haunted man awok,deepl//1990,deepl,de-en,-2.6,0.172554552555084,0.218778505921363,4,-2.4,-2.6,-5,-6,-2.6,-2,0,-12,-1,0,0
Aus diesem Traum erw,The stricken Aschenb,translator3//1991,translator,de-en,-0.4,0.229082122445106,0.096189953386783,4,-2.4,-2.6,-5,-6,-2.6,-2,0,-2,0,0,0
Aus diesem Traum erw,When he awakened fro,translator1//1992,translator,de-en,-0.6,0.186618790030479,0.195961505174636,3,-2.4,-2.6,-5,-6,-2.6,-2,0,-1,-2,0,0
Aus diesem Traum erw,The afflicted man aw,google translate//1993,google translate,de-en,-0.8,0.266279220581054,0.322678923606872,4,-6.4,-7.4,-30,-6,-7.4,-1,0,-2,-1,-1,0
Ins Hotel zurückgeke,Back at the hotel he,translator3//1994,translator,de-en,0.0,0.212532266974449,0.208526536822319,2,-1.3,-1.2,-10,-1,-1.2,-1,0,0,0,0,0
Ins Hotel zurückgeke,Returning to the hot,batch1_Unbabel_TowerInstruct-7B-v0.2//1995,towerinstruct-7b-v0.2,de-en,-0.5,0.02131263539195,0.328718900680542,4,-1.2,-1.2,-5,-5,-1.2,-2,0,-2,0,-4,0
Ins Hotel zurückgeke,"Back at the hotel, h",translator2//1996,translator,de-en,-0.2,0.211031630635261,0.103853285312652,4,-1.2,-1.2,-5,-1,-1.2,-6,0,-1,0,-1,0
Ins Hotel zurückgeke,Returning to the hot,translator1//1997,translator,de-en,-0.4,0.207017883658409,0.289138376712799,4,-1.3,-1.2,-5,-5,-1.2,-2,0,-3,0,-1,0
Ins Hotel zurückgeke,When he returned to ,deepl//1998,deepl,de-en,-0.4,0.204198151826858,0.435752809047699,4,-1.2,-1.2,-5,-5,-1.2,-2,0,-1,0,-3,0
Ins Hotel zurückgeke,"In the hotel, he ret",batch1_google_gemma-1.1-7b-it//1999,gemma-1.1-7b-it,de-en,-1.6,0.150613293051719,0.258778631687164,4,-3.2,-3.7,-26,-5,-3.7,-6,0,-3,-12,-1,0
Ins Hotel zurückgeke,Upon returning to th,m2m_100//2000,m2m,de-en,-0.8,0.16390374302864,0.146060228347778,1,-1.2,-3.7,-26,-5,-3.7,-6,0,-5,-3,0,0
Ins Hotel zurückgeke,Upon returning to th,translation_gpt4o//2001,gpt4o,de-en,-0.4,0.248672917485237,0.334985047578811,4,-1.2,-1.2,-5,-5,-1.2,-2,0,-1,0,-3,0
Ins Hotel zurückgeke,When he returned to ,google translate//2002,google translate,de-en,-0.2,0.065505251288414,0.246164977550506,4,-1.2,-1.2,-5,-5,-1.2,-2,0,-1,0,-1,0
Ins Hotel zurückgeke,Returned to the hote,batch1_meta-llama_Meta-Llama-3-8B-Instruct//2003,meta-llama-3-8b-instruct,de-en,-1.3,0.125453814864158,0.350258231163024,4,-1.2,-1.2,-5,-5,-1.2,-2,0,-12,-1,0,0
Ins Hotel zurückgeke,Returning to the hot,nllb//2004,nllb,de-en,-1.6,-0.020628726109862,0.107183821499347,2,-6.2,-5.8,-51,-5,-5.8,-2,0,-15,0,-1,0
Ins Hotel zurückgeke,"Back in the hotel, h",batch1_Qwen_Qwen2-beta-7B-Chat//2005,qwen2-beta-7b-chat,de-en,-1.4,0.167622536420822,0.232979506254196,4,-10.8,-3.7,-25,-6,-3.7,-6,0,-9,0,0,0
Zum zweitenmal und n,"For the second time,",deepl//2006,deepl,de-en,-0.5,0.20735065639019,0.2084252089262,4,-0.5833333333333334,-0.5833333333333334,-5,-1,-0.5833333333333334,-1,0,-4,-1,-2,0
